timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1730325151020,260,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-13,text,true,,278,905,11,11,http://10.64.13.61/perfmonitor/v1/applications,260,0,15
1730325151096,211,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-16,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,211,0,16
1730325151121,206,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-17,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,206,0,14
1730325151142,212,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-18,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,212,0,17
1730325151172,222,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-19,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,222,0,20
1730325151197,214,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-20,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,214,0,18
1730325151221,209,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-21,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,208,0,18
1730325151246,216,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-22,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,216,0,22
1730325151272,210,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-23,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,210,0,19
1730325151296,206,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-24,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,206,0,15
1730325151321,206,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-25,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,206,0,14
1730325151346,211,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-26,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,211,0,21
1730325151371,214,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-27,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,214,0,23
1730325151396,223,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-28,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,223,0,20
1730325151417,213,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-29,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,213,0,22
1730325151446,213,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-30,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,213,0,20
1730325151471,206,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-31,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,206,0,17
1730325151496,211,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-32,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,211,0,16
1730325151521,206,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-33,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,206,0,15
1730325151546,213,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-34,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,213,0,21
1730325151571,216,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-35,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,216,0,21
1730325151594,217,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-36,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,217,0,25
1730325151621,208,HTTP Request (perfmonitor/v1/applications),200,OK,Thread Group 1-37,text,true,,278,905,9,9,http://10.64.13.61/perfmonitor/v1/applications,208,0,14
